GEO,pop,prop_pop
Alberta,4371316,0.11629161540867708
British Columbia,5071336,0.13491448701493527
Manitoba,1369465,0.03643234602477697
New Brunswick,776827,0.020666194510549317
Newfoundland and Labrador,521542,0.01387476029723595
Northwest Territories,44826,0.0011925214174196876
Nova Scotia,971395,0.025842353595556092
Nunavut,38780,0.0010316776104835471
Ontario,14566547,0.38751883450119345
Prince Edward Island,156947,0.00417531474813206
Quebec,8484965,0.2257284274429224
Saskatchewan,1174462,0.031244614485913556
Yukon,40854,0.0010868529422046116
